Abbreviation	Metabolite Name
CADV	Cadaverine
CAIR	5-Phosphoribosyl-5-aminoimidazole-4-carboxylate
CAP	Carbamoyl phosphate
CBHCAP	3-Carboxy-3-hydroxy-isocaproate
CDP	Cytidine diphosphate
CDPDG	"CDP-1,2-Diacylglycerol"
CDPETN	CDP-Ethanolamine
CHCOA	6-Carboxyhexanoyl-coa
CHOR	Chorisimate
CIT	Citrate
CITR	L-Citrulline
CL	Cardiolypin
CMP	Cytidine monophosphate
CMPKDO	CMP-2-keto-3-deoxyoctanoate
CO2	Carbon dioxide
COA	Coenzyme A
CPAD5P	1-O-Carboxyphenylamino 1-deoxyribulose-5-phosphate
CPP	Coproporphyrinogen III
CTP	Cytidine triphosphate
CYS	Cysteine
CYTD	Cytidine
CYTS	Cytosine
D23PIC	"2,3-Dihydro dipicolinate"
D26PIM	"L,l-2,6-Diamino pimelate"
D6PGC	D-6-Phosphate-gluconate
D6PGL	D-6-Phosphate-glucono-delta-lactone
D6RP5P	"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate"
D8RL	"6,7-Dimethyl-8-(1-D-ribityl)lumazine"
DA	Deoxyadenosine
DADP	Deoxyadenosine diphosphate
DALA	D-Alanine
DAMP	Deoxyadenosine monophosphate
DANNA	"7,8-Diaminononanoate"
DATP	Deoxyadenosine triphosphate
DB4P	"3,4-Dihydroxy-2-butanone-4-phosphate"
DC	Deoxycytidine
DCDP	Deoxycytidine diphosphate
DCMP	Deoxycytidine monophosphate
DCTP	Deoxycytidine triphosphate
DG	Deoxyguanosine
DGDP	Deoxyguanosine diphosphate
DGLU	D-Glutamate
DGMP	2-Deoxy-guanosine-5-phosphate
DGR	"D-1,2-Diacylglycerol"
DGTP	Deoxyguanosine triphosphate
DHF	Dihydrofolate
DHMVA	"2,3-Dihydroxy-3-methyl-valerate"
DHNA	"1,4-Dihydroxy-2-naphthoic acid"
DHP	Dihydroneopterin
DHPP	Dihydroneopterin phosphate
DHPT	"7,8-Dihydropteroate"
DHSK	Dehydroshikimate
DHVAL	Dihydroxy-isovalerate
DIMGP	D-Erythro imidazoleglycerol-phosphate
DIN	Deoxyinosine
DIPEP	Dipeptide
DISAC1P	"2,3-bis(3-hydroxytetradecanoyl)-D-glucosaminyl-1,6-beta-D-2,3-bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate or dissacharide 1-P"
DKMPP	0
DMK	Demethylmenaquinone 
DMPP	Dimethylallyl pyrophosphate
DOROA	Dihydroorotic acid
DPCOA	Dephosphocoenzyme A
DQT	3-Dehydroquinate
DR1P	Deoxyribose 1-Phosphate
DR5P	Deoxyribose 5-Phosphate
DSAM	Decarboxylated adenosylmethionine
DSER	D-Serine
DT	Thymidine
DTB	Dethiobiotin
DTDP	Thymidine diphosphate
DTMP	Thymidine monophosphate
DTP	1-Deoxy-d-threo-2-pentulose
DTTP	Thymidine triphosphate
DU	Deoxyuridine
DUDP	Deoxyuridine diphosphate
DUMP	Deoxyuridine monophosphate
DUTP	Deoxyuridine triphosphate
DX5P	1-D-Deoxyxylulose-5-phosphate
E4P	Erythrose 4-phosphate
ENTER	Enterochelin
ER4P	Erythronate-4-phosphate
ETH	Ethanol
F1P	Fructose 1-Phosphate
F6P	Fructose 6-phosphate
FAD	Flavin adenine dinucleotide
FADH	Flavin adenine dinucleotide reduced
FCL	Fuculose
FCL1P	Fuculose 1-Phosphate
FDP	"Fructose 1,6-diphosphate"
FGAM	5-Phosphoribosyl-n-formylgycineamidine
FGAR	5-Phosphoribosyl-n-formylglycineamide
FMN	flavin mononucleotide
FOR	Formate
FPP	"trans, trans Farnesyl pyrophosphate "
FRU	Fructose
FTHF	10-Formyltetrahydrofolate
FUC	Fucose
FUM	Fumarate
G1P	Glucose 1-phosphate
G6P	Glucose 6-phosphate
GA1P	Glucosamine 1-phosphate
GA6P	D-Glucosamine
GABA	4-Aminobutanoate
GABAL	g-aminobutyraldehyde
GAL1P	Galactose 1-Phosphate
GAR	5-Phosphate-ribosyl glycineamide
GC	L-g-Glutamylcysteine
GDP	Guanosine diphosphate
GL	Glycerol
GL3P	Glycerol 3-phosphate
GLAC	Galactose
GLAL	D-Glyceraldehyde
GLC	a-D-Glucose
GLCN	Gluconate
GLN	Glutamine
GLT6P	Glucitol 6-Phosphate
GLTL1P	Galacitol-1-Phosphate 
GLU	Glutamate
GLUGSAL	L-Glutamate g-semialdehyde
GLUP	Glutamyl phosphate
GLX	Glyoxylate
GLY	Glycine
GLYCOGEN	Glycogen
GMP	Guanosine monophosphate
GN	Guanine
GPP	trans Geranyl pyrophosphate
GSA	Glutamate-1-semialdehyde
GSN	Guanosine
GTP	Guanosine triphosphate
GTRNA	L-Glutamyl-tRNA(glu)
H2	Hydrogen
H2O2	Hydrogen peroxide
H2S	Hydrogen sulfide
H2SO3	Sulfite
HBA	4-Hydroxy-benzyl-alcohol
HCYS	Homocysteine
HEMEO	Heme O
HEXT	External H+
HIS	Histidine
HISOL	Histidinol
HISOLP	L-Histidinol-phosphate
HMB	Hydroxymethylbilane
HPHPYR	para-Hydroxy phenyl pyruvate
HSER	Homoserine
HYXN	Hypoxanthine
ICHOR	Isochorismate
ICIT	Isocitrate
IDP	Inosine diphosphate
IGP	Indole glycerol phosphate
ILE	Isoleucine
IMACP	Imidazole acetyl-phosphate
IMP	Inosine monophosphate
INDOLE	Indole
INS	Inosine
IPPMAL	3-Isopropylmalate
IPPP	Isopentyl pyrophosphate
ISUCC	a-Iminosuccinate
ITP	Inosine triphosphate
K	Potassium
K2LIPIV	(KDO(2))-lipid IV(A)
KDO	2-Dehydro-3-deoxy-D-octonate
KDOLIPIV	(KDO)-lipid IV(A)
KDOP	2-Dehydro-3-deoxy-D-octonate 8-phosphate
KMB	a- keto-g-methiobutyrate
LAC	D-Lactate
LACAL	Lactaldehyde
LCTS	Lactose
LEU	Leucine
LIPA	(KDO(2))-lipid A (Endotoxin)
LIPIV	Lipid IV(A)
LIPX	Lipid X
LLAC	L-Lactate
LLCT	L-Cystathionine
LPS	Lippolysaccharide
LRL5P	L-Ribulose-5-Phosphate
LYS	L-Lysine
MAL	Malate
MALACP	Malonyl-ACP
MALCOA	Malonyl-CoA
MAN1P	Mannose 1-Phosphate
MAN6P	Mannose 6-Phosphate
MDAP	Meso-diaminopimelate
MELI	Melibiose
MET	Methionine
METHF	"5,10-Methenyl tetrahydrofolate"
METTHF	"5,10-Methylene tetrahydrofolate"
MK	Menaquinone
MLT6P	Maltose 6-phosphate
MNT6P	Mannitol 6-Phosphate
MTHF	5-Methyl tetrahydrofolate
NA	Sodium
NAAD	Nicotinic acid adenine dinucleotide
NAARON	N-a-Acetyl ornithine
NAC	Nicotinate
NAD	Nicotinamide adenine dinucleotide
NADH	Nicotinamide adenine dinucleotide reduced
NADP	Nicotinamide adenine dinucleotide phosphate
NADPH	Dihydronicotinamide adenine dinucleotide phosphate reduced
NAG	N-Acetylglucosamine
NAGLU	N-Acetyl glutamate
NAGLUSAL	N-Acetyl glutamate semialdehyde 
NAGLUYP	N-Acetyl glutamyl -phosphate
NAGP	N-Acetylglucosamine 6-phosphate
NAm	Nicotinamide
NAMAN	N-Acetyl-D-mannosamine 
NAMN	Nicotinic acid mononucleotide
NCAIR	5'-Phosphoribosyl-5-carboxyaminoimidazole
NH3	Ammonia
NMN	Nicotinamide mononucleotide
NPRAN	N-5-phosphoribosyl-antranilate
NS26DP	"N-Succinyl-l,l-2,6-diaminopimelate"
NS2A6O	N-Succinyl-2-amino-6-ketopimelate
O2	Oxygen
O4HBZ	3-Octaprenyl-4-hydroxybenzoate
OA	Oxaloacetate
OBUT	Oxobutyrate or 2-ketobutyrate
OGT	Oxidized glutathione
OHB	3-Hydroxy-4-phospho-hydroxy-alpha-ketobutyrate
OICAP	2-Oxoisocaproate
OIVAL	Oxoisovalerate
OMP	Orotidylate
OMVAL	Oxomethylvalerate
OPEP	Oligopeptide
OPP	trans Octaprenyl pyrophosphate
ORN	Ornithine
OROA	Orotic acid
OSB	O-Succinylbenzoic acid
OSBCOA	O-Succinylbenzoyl-CoA
OSLHSER	O-Succinyl-l-homoserine
OTHIO	Thioredoxin (oxidized form)
P5P	Pyridoxine-5'-phosphate
PA	Phosphatidyl acid
PABA	para-Aminobenzoic acid
PANT	Pantoate
PAP	"Adenosine-3',5'-diphosphate"
PAPS	3-Phosphoadenylyl sulfate
PBG	Probilinogen III
PC2	Percorrin 2
PDLA	Pyridoxamine
PDLA5P	Pyridoxamine-5-phosphate
PE	Phosphatidyl ethanolamine
PEP	Phosphoenolpyruvate
PEPT	Peptide
PEPTIDO	Peptidoglycan
PG	Phosphatidyl glycerol
PGP	L-1-Phoshatidyl-glycerol-phosphate
PHE	Phenylalanine
PHEN	Prephenate
PHP	3-Phosphohydroxypyruvate
PHPYR	Phenyl pyruvate
PHSER	O-Phospho-l-homoserine
PHT	Phospho-hydroxy-threonine
PI	Phosphate (inorganic)
PIP26DX	"Delta-piperidine-2,6-dicarboxylate"
PL	Pyridoxal
PL5P	Pyridoxal 5'-phosphate
PNTO	Pantothenate
PPHG	Protoporphyrinogen
PPI	Pyrophosphate
PPIX	Protoporphyrin IX
PRAM	5-Phosphate-b-D-ribosyl amine
PRBAMP	Phosphoribosyl -AMP
PRBATP	Phosphoribosyl-ATP
PRFICA	5-Phosphate-ribosyl-formamido-4-imidazole carboxamide
PRFP	Phosphoribosyl-formimino-AICAR-phosphate
PRLP	Phosphoribulosyl- formimino-AICAR-phosphate
PRO	Proline
PRPP	Phosphoribosyl pyrophosphate
PS	Phosphatidyl serine
PTH	Protoheme
PTRC	Putrescine
PYR	Pyruvate
PYRDX	Pyridoxine
Q	Ubiquinone
QA	Quinolinate
QH2	Ubiquinol
R1P	Ribose 1-phosphate
R5P	Ribose 5-phosphate
RBL	Ribulose
RGT	Reduced glutathione
RIB	Ribose
RIBFLV	Riboflavin
RL5P	D-Ribulose 5-phosphate
RML	Rhamnulose
RML1P	Rhamnulose 1-phosphate
RMN	Rhamnose 
RTHIO	Thioredoxin (reduced form)
S7P	sedo-Heptulose 7-phosphate
SAH	S-Adenosyl homocystine
SAICAR	5-Phosphoribosyl-4-(N-succinocarboxyamide)-5-amino-imidazole
SAM	S-Adenosyl methionine
SAMOB	S-Adenosyl-4-methylthio-2-oxobutanoate
SER	Serine
SERA	L-Seryl-adenylate
SHCHC	"2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate"
SHCL	Sirohydrochlorin
SHEME	Siroheme
SLA	Sialic acid
SLF	Sulfate
SME	Shikimate
SME5P	Shikimate-5-phosphate
SPMD	Spermidine
SSALTPP	Succinate semialdehyde - thiamine pyrophosphate
SUC6P	Surose 6-phosphate
SUCC	Succinate
SUCCOA	Succinyl-CoA or Succinate CoA 
SUCCSAL	Succinate semialdehyde
T3P1	Glyceraldehyde 3-phosphate
T3P2	Dihydroxyacetone phosphate or glycerone phosphate
TAG16P	"Tagatose-1,6 diphosphate"
TAG6P	Tagatose-6-phosphate
THF	Tetrahydrofolate
THIAMIN	Thiamin
THMP	Thiamine-phosphate
THR	Threonine
THY	Thymine
THZ	4-Methyl-5-(beta-hydroxyethyl)thiazole
THZP	4-Methyl-5-(beta-hydroxyethyl)thiazole phosphate
TPP	Thiamine-pyrophosphate
TRE6P	Trehalose 6-phosphate
TRP	Tryptophan
TYR	Tyrosine
UDP	Uridine diphosphate
UDPG	UDP Glucose
UDPG23A	"UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine"
UDPG2A	UDP-3-O-(3-hydroxytetradecanoyl)glucosamine
UDPG2AA	UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine
UDPGAL	UDP Galactose
UDPNAG	UDP N-acetyl glucosamine
UDPNAGEP	UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine
UDPNAM	UDP-N-acetyl-D-muramate
UDPNAMA	UDP-N-acetylmuramoyl-L-alanine
UDPNAMAG	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate
UDPP	Undecaprenyl pyrophosphate
UMP	Uridine monophosphate
UNAGD	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminoheptanedioate"
UNAGDA	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminoheptanedioate- D-alanyl-D-alanine"
UNPTDO	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminoheptanedioate- D-alanyl-D-alanine- diphosphoundecaprenol"
UPRG	Uroporphyrinogen III
URA	Uracil
UREA	Urea
URI	Uridine
UTP	Uridine triphosphate
VAL	Valine
X5P	D-Xylulose-5-phosphate
XAN	Xanthine
XMP	Xantosine monophosphate
XTSN	Xanthosine
XUL	D-Xylulose 
XYL	D-Xylose
	
	
	
	

































































































								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
